SKU,Model,MSE,RMSE,MAE,R2
0025161-F,Elastic Net,1.0607033435664823,1.0299045312874793,0.8758641418695521,0.04536699079016615
0025161-S,Ridge,46.915651622767925,6.849500100209352,4.624718035044762,0.09323856443521228
0025525-S,Linear Regression,13.574378356677633,3.6843423234924346,3.087830932049717,0.1727057966701444
0025904-F,Decision Tree,0.08333333333333333,0.28867513459481287,0.16666666666666666,0.625
0026195-S,Elastic Net,15.318752554519753,3.913917801196105,2.42363315696649,0.055693335680289224
0026518-S,Ridge,0.9843316407172296,0.9921348903839787,0.9146713597061747,0.07245672317030272
0026522-S,Elastic Net,4.799798437893675,2.190844229490923,1.9243386243386242,0.3005475074312973
0026525-S,Ridge,8.420561476734699,2.9018203729270873,2.1446213171439044,0.1332907903635372
0026538-F,Ridge,1.301298795393938,1.1407448423700797,0.6669919232503793,0.09632028097643197
0026538-S,SVR,9.437479760235163,3.0720481376819544,1.9475005357854784,0.015105312591413789
0026541-F,Random Forest,0.34756930368953115,0.5895500858192891,0.403704365079365,0.4041669079608037
0026541-S,Linear Regression,5.724248830235685,2.3925402463147165,1.9208910845798457,0.3381521136675082
0026542-S,Elastic Net,12.110295414462081,3.4799849733098105,2.1748677248677253,0.19526979673539047
0026543-S,Linear Regression,22.03801719411771,4.694466657046113,3.7686324962261555,0.009477852841293433
0026549-S,Lasso,20.83528911564626,4.564568886066488,3.273809523809524,0.30507855751253965
0026575-S,Elastic Net,1.8768145292356155,1.3699688059352357,1.153913782877298,0.024255576312517846
0026593-F,SVR,0.04315220610145506,0.2077310908397081,0.09027766466651999,0.13455853318748467
0026593-S,Elastic Net,1.4225875535399344,1.1927227479762152,1.032312925170068,0.4378484667463163
0026598-S,Ridge,3.3941672358524895,1.8423265823008932,1.6341311500497362,0.3509689968516214
0026606-S,Elastic Net,1.304457199546485,1.1421283638656756,0.979591836734694,0.3200169917257686
0026610-F,SVR,0.04768534475788449,0.21836974322896588,0.15049480380977506,0.04364391902242781
0026610-S,Ridge,7.533738936763759,2.744765734404989,1.8845908291770903,0.28356244261544983
0026614-F,SVR,0.05675697349095151,0.23823722104438574,0.13168660293951465,0.03134765242109416
0026614-S,Linear Regression,1.0375366331410425,1.018595421716121,0.7118939351278298,0.15700148557290294
0026643-S,Ridge,5.740002211598701,2.395830171693875,1.9713193570261303,0.4249775166475034
0026645-F,Linear Regression,1.8154960930822754,1.3474034633628769,0.9545618463757662,0.011563238210761217
0026660-S,Linear Regression,20.35739872782545,4.511917411458842,3.3999393897808883,0.4845358188430423
0026667-S,Random Forest,5.319091471215602,2.306315561933276,1.7604026489383633,0.21079339261297658
0026784-F,Linear Regression,0.21165816326530615,0.4600632165967044,0.42023809523809513,0.047538265306122485
0026784-S,Linear Regression,22.091429282085244,4.7001520488262125,3.6910421680788623,0.38739103858394064
0026803-S,Ridge,27.670427235114893,5.260268741719846,3.823183904941939,0.12919015123915878
0026817-F,SVR,4.119899054545448,2.029753446738162,1.1970679328401779,0.0550690241868238
0026818-S,SVR,56.70787476178292,7.530463117350945,5.32924530701866,0.1959820997316658
0026832-F,Linear Regression,2.1358487632148453,1.4614543315529382,1.2493960310612597,0.16568407686920095
0026833-F,Linear Regression,2.029748719010403,1.4246924998084334,1.253956834532374,0.20712940663656132
0026833-S,Ridge,17.678757226303162,4.204611423937195,2.8003328535285132,0.3303501050642742
0026858-S,Elastic Net,4.318686224489796,2.078144899781966,1.6226190476190478,0.1354943055959037
