Model,MSE,RMSE,MAE,R2,SKU,Percent Change,Difference
Second Degree Approximation,0.34944287865051593,0.5911369373085359,0.3195636026695315,0.024987717334800208,0068490-S,,
Second Degree Approximation,0.17312262276280035,0.41608006773071976,0.3575466572691364,0.0766793452650647,0069844-A,,
Linear Regression,3.990841755102261,1.9977091267505038,1.54431706730748,0.0025862339686441027,0070260-S,,
Second Degree Approximation,7.893346422389494,2.809509996848115,2.0684395690705384,0.018232014835597332,0070542-S,,
Second Degree Approximation,0.7945808045377865,0.8913926208679239,0.6284005361951663,0.004202332424858124,0070552-S,,
Exponential Smoothing w/ Trend & Seasonality,3.8560368124621167,1.9636794067418737,1.384144143453612,0.050457510710215314,0070564-S,,
Exponential Smoothing w/ Trend & Seasonality,1.1350526687373679,1.0653885060096002,0.7118345178779512,0.04381669149144596,0070870-S,,
Linear Regression,1.9894802372950315,1.4104893609294016,0.9022545694044015,0.0028886295797845296,0071003-S,,
Exponential Smoothing w/ Trend & Seasonality,3.22121179254724,1.7947734655235017,0.955033395087475,0.005116313085133495,0071026-S,,
Second Degree Approximation,1.6029733290291008,1.2660858300404048,0.8369415408619303,0.0010781222277903568,0071321-S,,
Exponential Smoothing w/ Trend & Seasonality,0.6535668529390576,0.8084348167533716,0.45652608239160114,0.013791560958678395,0071323-S,,
Exponential Smoothing w/ Trend & Seasonality,0.8921005072321264,0.9445107237253193,0.6558881903748011,0.02640054165465522,0071456-S,,
Exponential Smoothing w/ Trend & Seasonality,3.18819088037348,1.7855505818580106,0.9410693282837708,0.028648682350665977,0071458-S,,
Second Degree Approximation,4.973134830293218,2.230052651910537,2.1082778488351237,0.03621418017573297,0071563-S,,
Exponential Smoothing w/ Trend & Seasonality,0.7852682245023782,0.886153612249241,0.6103401662273104,0.023093778740823634,0071590-S,,
