SKU,Model,MSE,RMSE,MAE,R2,Percent Change,Difference
0067577-S,Second Degree Approximation,0.185566197450465,0.430773951685179,0.3820951851263308,0.01031361359752,,
0067581-S,Elastic Net,20.108765589569163,4.484279829534411,3.210714285714285,0.0393901788422373,,
0067587-S,Elastic Net,6.894612150415722,2.6257593473918592,1.9242063492063497,0.0055847859977323,,
0067623-S,Exponential Smoothing w/ Trend & Seasonality,0.3980253251131168,0.6308924830057153,0.4584187750439836,0.0292065241143492,,
0067730-F,Random Forest,1.6588261093805938,1.2879542341949088,0.4634511278195488,0.6673132080631142,,
0067730-S,CatBoost,6.9200575436883405,2.630600224984469,1.878385865053032,0.1902060321215771,,
0068410-S,Elastic Net,4.090702947845806,2.0225486268186,1.6666666666666667,0.0328374212572039,,
0068414-S,Elastic Net,3.4001007810531627,1.8439362193560715,1.516439909297052,0.1456157011712564,,
0068415-S,Elastic Net,3.37912572436382,1.8382398440801515,1.628684807256236,0.0801268861454043,,
0068422-S,Ridge,0.9370851561516276,0.9680315884058884,0.6740381046641097,0.2217428364164448,,
0068428-S,Ridge,4.907437696166894,2.2152737293993474,2.049506465682149,0.1855564873423275,,
0068490-S,Second Degree Approximation,0.3494428786505159,0.5911369373085359,0.3195636026695315,0.0249877173348002,,
0068502-F,Random Forest,0.3208211228958019,0.5664107369178324,0.3357187499999999,0.2666945762381669,,
0068502-S,Random Forest,0.6041966231686582,0.7773008575633107,0.5547856627499483,0.2457163175728852,,
0068513-S,SVR,0.6227629038869066,0.7891532828841977,0.5099504527451696,0.0941630488917721,,
0068872-F,Decision Tree,0.8666666666666668,0.9309493362512627,0.5333333333333334,0.1666666666666664,,
0068956-F,Decision Tree,13.51851851851852,3.676753801727622,1.5555555555555556,0.0266666666666667,,
0069789-S,Linear Regression,1.4966246194742607,1.223366101980213,0.902905701754386,0.207669319101862,,
0069791-S,SVR,0.397223805240886,0.6302569358927247,0.4586978679534347,0.0972186244525318,,
0069792-S,Decision Tree,0.1666666666666666,0.408248290463863,0.1666666666666666,0.7142857142857143,,
0069796-S,Ridge,0.1354573080520387,0.3680452527231382,0.2957361062739439,0.3904421137658258,,
0069802-S,XGBoost,3.2491508116568473,1.8025400998748535,1.2496661588807,0.6389832431492393,,
0069803-S,Linear Regression,5.216961971512437,2.2840669805223395,1.7264827418570747,0.2547197183553661,,
0069804-S,Ridge,6.3426400580317575,2.5184598583324207,1.7410086602139585,0.1382282529848154,,
0069805-F,Random Forest,0.1160293388888888,0.3406307955674132,0.2023666666666666,0.2748166319444447,,
0069806-S,SVR,1.6055889647975212,1.2671183704759084,0.6571412913692568,0.1972055176012394,,
0069807-S,Elastic Net,0.4033200308584057,0.6350748230393058,0.4273972602739725,0.2797856591814185,,
0069809-S,Ridge,3.8045467563644833,1.9505247387214764,1.2911722286365048,0.4310014143136305,,
0069816-F,SVR,0.1488718634013273,0.38583916779058,0.2877536020809622,0.069550853741704,,
0069817-S,Decision Tree,138.5,11.76860229593982,7.0,0.6376716808371485,,
0069818-F,Gradient Boosting,1.6932189860554014e-10,1.301237482573954e-05,1.0624559554953958e-05,0.9999999992380516,,
0069818-S,Linear Regression,2.258883338647394,1.502958195908121,1.150957290132548,0.3696139520053784,,
0069819-F,Gradient Boosting,1.6167889624328427e-10,1.2715301657581084e-05,1.1067249536582857e-05,0.999999999272445,,
0069819-S,Ridge,1.8031671945816976,1.342820611467406,1.0126559032825768,0.4477800466593551,,
0069843-A,Ridge,2.671569620962346,1.6344936894837945,1.09784939745182,0.6102269246012384,,
0069844-A,Second Degree Approximation,0.1731226227628003,0.4160800677307197,0.3575466572691364,0.0766793452650647,,
0069845-A,Decision Tree,0.0496031746031746,0.2227177015936869,0.1666666666666666,0.5949074074074074,,
