SKU,Model,MSE,RMSE,MAE,R2
85669NP-X,Ridge,62.23882580654385,7.889158751511079,6.829213727103282,-5.401201172695821
85669NP-X,Lasso,56.0448180191231,7.486308704503381,6.460769829757685,-4.764153648120638
85669NP-X,Elastic Net,48.744494547386296,6.981725757102343,5.9863590959786395,-4.013322658577337
85669NP-X,SVR,12.56397871687093,3.5445703148436665,2.241370038046146,-0.2921926828462693
85669NP-X,Decision Tree,6.7730263157894735,2.602503855095987,1.8289473684210527,0.3034009971509971
85669NP-X,Random Forest,6.631212589506173,2.5751140925221496,1.8089189640768588,0.31798639748953605
85669NP-X,Gradient Boosting,21.282687026527327,4.613316272111346,3.68899124075421,-1.188903138625745
85669NP-X,XGBoost,6.772947685536355,2.6024887483976475,1.8290720025022318,0.30340908419412416
85669NP-X,CatBoost,6.771758027890918,2.6022601768253146,1.829051180227993,0.303531439296689
0050092-A,Linear Regression,11.430385487528344,3.380885311205978,2.2095238095238097,-0.45795733259290117
0050092-A,Ridge,11.388199906665585,3.3746407077888434,2.198997270435162,-0.45257651870734517
0050092-A,Lasso,9.47956348522322,3.078889976147771,1.7865180689475508,-0.2091279955641865
0050092-A,Elastic Net,10.132052806729538,3.183088564072564,1.9329826318555323,-0.2923536743277475
0050092-A,SVR,9.634971454635883,3.1040250409163717,1.4620951934185418,-0.22895044064233216
0050092-A,Decision Tree,9.8,3.1304951684997055,1.4,-0.2500000000000002
0050092-A,Random Forest,10.183486783333333,3.1911575929955784,1.8564333333333334,-0.29891413052721094
0050092-A,Gradient Boosting,9.79875831235923,3.1302968409336565,1.4007077786644797,-0.2498416214743917
0050092-A,XGBoost,9.793322936428284,3.129428531925323,1.399575246735185,-0.24914833372809753
0050092-A,CatBoost,9.807203869298231,3.1316455529478797,1.4269509701710323,-0.2509188608798767
86799BU-X,Linear Regression,2736.279284992824,52.3094569365122,33.702641933670634,-2068.311209275824
86799BU-X,Ridge,2296.9105615095636,47.92609478676062,31.07963940063994,-1736.0386121416077
86799BU-X,Lasso,701.8679166631161,26.492789899576756,18.272599506922763,-529.7876119764817
86799BU-X,Elastic Net,260.55903175970474,16.141841027581233,12.074417204751422,-196.0477677682767
86799BU-X,SVR,1.9240817691857492,1.3871127456648034,1.1680479342783883,-0.455086837946723
86799BU-X,Decision Tree,180.7405303030303,13.443977473316084,6.386363636363637,-135.6850260416667
86799BU-X,Random Forest,156.77312179177144,12.520907386917749,6.2108099173553715,-117.55967335502716
86799BU-X,Gradient Boosting,179.79497792951776,13.408764966599936,6.367548553923772,-134.96995205919782
86799BU-X,XGBoost,180.73052389765022,13.443605316195884,6.386284841153114,-135.67745869759798
86799BU-X,CatBoost,180.71581358694087,13.44305819324386,6.385840146054818,-135.66633402512406
0221502-F,Linear Regression,610.52706816,24.708845949578464,21.420799999999986,-41.927684479999996
0221502-F,Ridge,615.5312326696044,24.80990190769815,20.56160880204594,-42.27953979708156
0221502-F,Lasso,589.4630892290199,24.278860954110264,20.54435538758701,-40.44662346141546
0221502-F,Elastic Net,1450.5051800379545,38.085498290529884,31.38448884479658,-100.98864547141868
0221502-F,SVR,530.5476639719059,23.033620296686014,22.56961217061854,-36.30413262302463
0221502-F,Decision Tree,152.0,12.328828005937952,8.0,-9.6875
0221502-F,Random Forest,185.09455482489295,13.60494596920153,10.840328042328043,-12.014460886125287
0221502-F,Gradient Boosting,162.94885607037116,12.765142226797598,8.307990376792297,-10.457341442447973
0221502-F,XGBoost,151.9747222740987,12.327802816159037,7.99979639487396,-9.685722659897564
0221502-F,CatBoost,151.1016303683539,12.292340312908438,7.998358422060139,-9.624333385274884
0078933-S,Linear Regression,244.78328816002363,15.645551705197986,10.277821586988665,-0.032448809144306257
0078933-S,Ridge,248.16747602392107,15.753332219689936,10.28147313569467,-0.04672266238104106
0078933-S,Lasso,289.41254912728834,17.012129470683213,10.484358523725835,-0.22068644450330366
0078933-S,Elastic Net,284.94740982916426,16.88038535783956,10.514906867342736,-0.20185334610976513
0078933-S,SVR,357.8186432700159,18.916094820813726,11.73851167218615,-0.5092101871441892
0078933-S,Decision Tree,319.928,17.88653124560489,11.16,-0.3493947446117507
0078933-S,Random Forest,304.88692204243137,17.461011483944205,10.917369264069263,-0.2859543719365274
0078933-S,Gradient Boosting,301.46502936403857,17.36274832404244,11.031788053333893,-0.2715214870472753
0078933-S,XGBoost,281.04830448868756,16.764495354429478,10.260581753228326,-0.18540767003537684
0078933-S,CatBoost,266.9663525737606,16.339105011406243,9.701234330362341,-0.12601270645645335
0026598-F,Linear Regression,2.271851343928878,1.5072661821751585,1.1578344782466472,-0.5431443090837662
0026598-F,Ridge,2.272080369685297,1.5073421541525656,1.157933042212518,-0.5432998737485035
0026598-F,Lasso,2.292690611216131,1.5141633370334031,1.1666666666666667,-0.5572992830902022
0026598-F,Elastic Net,2.292690611216131,1.5141633370334031,1.1666666666666667,-0.5572992830902022
0026598-F,SVR,2.6314074921300548,1.6221613643932145,1.1687396015078793,-0.7873711267298482
