,date,sales,sales_diff
322,2023-10-26 02:20:23,20,-44.0
323,2023-10-26 02:24:33,100,80.0
324,2023-10-26 02:48:03,64,-36.0
325,2023-10-26 02:48:59,100,36.0
326,2023-10-26 02:58:07,100,0.0
327,2023-10-26 07:30:01,100,0.0
328,2023-10-26 07:50:38,45,-55.0
329,2023-10-26 07:57:02,100,55.0
330,2023-10-26 07:57:54,100,0.0
331,2023-10-26 07:59:40,100,0.0
332,2023-10-26 08:05:31,100,0.0
333,2023-10-26 08:10:47,100,0.0
334,2023-10-26 08:22:39,100,0.0
335,2023-10-26 08:42:55,100,0.0
336,2023-10-26 09:36:00,100,0.0
307,2023-10-26 10:18:51,100,0.0
308,2023-10-26 10:22:50,100,0.0
309,2023-10-26 10:23:30,100,0.0
310,2023-10-26 10:29:35,100,0.0
311,2023-10-26 10:59:00,100,0.0
312,2023-10-26 11:19:12,100,0.0
313,2023-10-26 11:40:27,100,0.0
314,2023-10-26 11:40:35,100,0.0
315,2023-10-26 12:37:40,100,0.0
316,2023-10-26 12:45:48,100,0.0
346,2023-10-27 01:00:20,100,0.0
347,2023-10-27 01:11:51,100,0.0
348,2023-10-27 01:19:52,100,0.0
349,2023-10-27 01:21:17,100,0.0
350,2023-10-27 01:36:37,100,0.0
351,2023-10-27 07:22:45,100,0.0
352,2023-10-27 07:24:20,100,0.0
353,2023-10-27 07:30:44,100,0.0
354,2023-10-27 08:03:24,100,0.0
355,2023-10-27 08:08:10,100,0.0
356,2023-10-27 08:12:06,100,0.0
357,2023-10-27 08:25:34,100,0.0
358,2023-10-27 08:32:15,100,0.0
359,2023-10-27 08:35:40,100,0.0
360,2023-10-27 08:38:18,100,0.0
361,2023-10-27 08:43:58,100,0.0
362,2023-10-27 08:54:00,100,0.0
363,2023-10-27 09:11:15,100,0.0
364,2023-10-27 09:13:14,100,0.0
365,2023-10-27 09:15:16,100,0.0
366,2023-10-27 09:19:03,100,0.0
367,2023-10-27 09:41:50,100,0.0
368,2023-10-27 09:46:23,100,0.0
369,2023-10-27 09:51:08,100,0.0
370,2023-10-27 09:57:25,100,0.0
337,2023-10-27 10:01:03,100,0.0
338,2023-10-27 10:02:23,100,0.0
339,2023-10-27 10:03:47,100,0.0
340,2023-10-27 10:17:34,100,0.0
341,2023-10-27 10:28:56,100,0.0
342,2023-10-27 10:37:50,100,0.0
343,2023-10-27 10:42:35,100,0.0
344,2023-10-27 10:55:13,100,0.0
345,2023-10-27 11:05:14,100,0.0
374,2023-10-30 01:22:46,100,0.0
375,2023-10-30 02:12:01,100,0.0
376,2023-10-30 02:27:50,100,0.0
371,2023-10-30 10:29:20,100,0.0
372,2023-10-30 11:48:49,20,-80.0
373,2023-10-30 12:13:13,45,25.0
399,2023-10-31 01:01:38,100,55.0
400,2023-10-31 01:07:19,100,0.0
401,2023-10-31 01:07:43,100,0.0
402,2023-10-31 01:08:54,100,0.0
403,2023-10-31 01:10:10,100,0.0
404,2023-10-31 01:12:47,100,0.0
405,2023-10-31 01:21:26,100,0.0
406,2023-10-31 01:21:55,100,0.0
407,2023-10-31 01:24:33,100,0.0
408,2023-10-31 01:24:39,100,0.0
409,2023-10-31 01:37:30,100,0.0
410,2023-10-31 01:51:01,100,0.0
411,2023-10-31 01:53:12,100,0.0
412,2023-10-31 01:53:21,100,0.0
413,2023-10-31 01:54:10,100,0.0
414,2023-10-31 01:55:42,100,0.0
415,2023-10-31 02:07:57,100,0.0
416,2023-10-31 02:10:00,100,0.0
417,2023-10-31 02:36:31,100,0.0
418,2023-10-31 02:36:32,100,0.0
419,2023-10-31 02:40:31,100,0.0
420,2023-10-31 02:40:44,100,0.0
421,2023-10-31 02:41:20,100,0.0
422,2023-10-31 02:41:47,100,0.0
423,2023-10-31 02:41:50,100,0.0
424,2023-10-31 02:42:10,100,0.0
425,2023-10-31 02:46:38,100,0.0
426,2023-10-31 02:48:38,100,0.0
427,2023-10-31 02:50:25,100,0.0
428,2023-10-31 02:54:32,100,0.0
429,2023-10-31 07:36:50,100,0.0
