,Sku,Created,Quantity
507,0043121-X,11/3/2023 11:45:05 AM,36
508,0043121-X,11/3/2023 11:47:21 AM,24
509,0043121-X,11/3/2023 11:49:06 AM,12
510,0043121-X,11/3/2023 11:53:04 AM,12
511,0043121-X,11/3/2023 11:53:16 AM,24
512,0043121-X,11/3/2023 12:05:04 PM,12
513,0043121-X,11/3/2023 12:10:23 PM,12
514,0043121-X,11/3/2023 12:10:27 PM,12
515,0043121-X,11/3/2023 12:15:30 PM,12
516,0043121-X,11/3/2023 12:21:44 PM,12
517,0043121-X,11/3/2023 12:21:46 PM,12
518,0043121-X,11/3/2023 12:23:40 PM,12
519,0043121-X,11/3/2023 12:27:04 PM,12
520,0043121-X,11/3/2023 12:27:05 PM,12
521,0043121-X,11/3/2023 12:30:33 PM,12
522,0043121-X,11/3/2023 12:30:54 PM,12
523,0043121-X,11/3/2023 12:31:14 PM,12
524,0043121-X,11/3/2023 12:37:37 PM,12
525,0043121-X,11/3/2023 12:37:44 PM,12
526,0043121-X,11/3/2023 12:39:20 PM,12
527,0043121-X,11/3/2023 12:42:50 PM,12
528,0043121-X,11/3/2023 12:43:38 PM,12
529,0043121-X,11/3/2023 12:46:45 PM,24
530,0043121-X,11/3/2023 12:46:48 PM,12
531,0043121-X,11/3/2023 12:47:32 PM,12
532,0043121-X,11/3/2023 12:49:14 PM,12
533,0043121-X,11/3/2023 12:50:34 PM,24
534,0043121-X,11/3/2023 12:52:51 PM,12
535,0043121-X,11/3/2023 12:59:01 PM,12
